TEMP,HUMIDITY
26,15.39551221
34,16.7081489
24,15.13333559
32,15.10598231
40,15.29553644
24,15.65014724
30,16.07181251
34,15.88088827
24,15.95321883
28,15.62427941
24,16.14416412
44,15.41413099
32,16.77460156
32,15.01629176
40,16.79965773
28,15.95416254
32,16.96743186
28,15.66266866
36,16.44304824
36,15.94746799
30,15.95280027
36,15.04487953
34,16.34274915
30,15.04380011
36,15.26263883
40,15.9159207
32,16.48807014
32,15.28428539
34,15.25462528
30,15.87055703
26,15.11903795
38,16.14935121
44,16.45771423
36,15.71135931
44,15.76768133
38,15.48516087
38,15.12508693
40,16.46724751
34,15.00039683
34,16.1128945
38,16.20433076
44,15.37446257
40,15.76557473
24,15.42875507
26,16.6526304
40,15.97976717
30,16.15298233
36,15.73069987
40,16.46618454
28,15.6483964
28,15.19355907
26,16.03201954
44,15.06667838
32,16.89432326
26,16.60431517
30,16.40567476
40,16.93521618
36,16.61232601
28,15.21776534
30,16.86034537
42,15.44621377
38,16.03688576
32,15.12672253
24,16.16659943
30,16.43217721
24,15.52194311
38,16.39160091
28,15.93793614
24,15.91806972
42,16.5051256
38,15.69555466
24,15.78569261
26,15.58957022
34,16.46257162
40,16.73912336
36,15.68751056
24,15.27714087
26,16.92143874
24,15.70507206
24,16.5367807
28,16.7672315
24,15.09910058
26,15.23859355
38,15.59635974
36,15.15606673
42,16.79126544
30,16.24378682
44,15.86817859
26,16.54554208
40,15.95170804
34,15.3501278
44,15.453197
24,15.17186206
24,16.61844905
26,15.52585502
42,16.27781338
42,15.82421087
36,16.64149858
40,15.44416689
36,15.03696443
32,16.96412894
36,16.4189728
44,16.22331373
28,16.77718734
38,16.72231035
30,16.02179768
28,15.66026116
44,16.90951521
40,16.51806186
38,16.29452534
34,15.55983134
32,15.61187227
24,15.64411801
30,16.98617718
44,16.9730975
26,15.40367439
24,16.11962
32,16.99972465
34,15.79683086
24,15.140226277168697
42,16.525210205847305
40,15.061401660180492
28,15.270704272181252
38,15.15789531923126
40,16.266999492327066
40,16.652045266895026
24,15.614075527896194
30,16.62956491483146
24,16.72482990082439
28,15.178046730328226
40,16.230145365350882
26,16.195789366657667
26,15.000731077130789
36,15.73323511145876
42,16.324115456440232
30,15.531205033201381
28,15.698090863337237
34,16.192641003857112
24,15.7974982022938
44,16.620105010335433
26,15.071322513887612
38,16.071573172261104
32,15.14786933251692
34,16.626814738029523
34,15.348408865375447
32,16.203508806409932
24,15.339074621543784
24,15.474725941156466
40,16.802688242497023
36,16.925276509043968
40,16.9962119708688
42,16.81432980638979
44,16.943194886473012
44,16.16323736487109
24,15.887692618339775
24,15.828982829117884
38,15.257514579406099
44,15.416459866056876
36,16.576331715446614
34,16.041083984183174
40,15.544640182251737
42,15.413189754185318
30,16.258608499106376
30,15.302122914158183
38,16.673584683508473
40,16.348734367021127
34,15.794397064436534
26,15.995019308262862
30,16.669406925133856
24,15.599198414910921
40,16.733576199208297
28,15.819279975328904
32,15.741660166555663
36,15.858428406757607
30,16.534542535015735
44,15.451485215253264
28,16.311124503751614
36,16.22520720231147
24,15.427937680659921
36,16.638177096145718
32,15.081528624828152
24,15.967900011716367
36,16.355476087885425
28,16.38965436328624
24,16.728592884957358
28,16.39630291583733
28,15.49642834158031
40,15.308937263839377
32,16.34950021172589
40,15.758588339199813
26,15.233785074989736
42,15.401555410010115
32,15.107696038068417
42,15.117621381818713
34,15.449743772524977
26,15.871149545973871
34,15.282435965006757
44,15.04501636131185
26,15.690951991809998
40,16.937035520928536
28,16.29144135309811
24,15.676573046333926
26,15.866791635282889
38,15.521832551957617
26,16.46520439036974
34,15.288025506148594
44,16.44191428717337
24,16.966831613164437
36,15.947313481035573
30,16.956572295706927
38,15.683083351436332
34,15.962040276615737
34,15.349249094763904
44,15.358760930845087
24,16.46308421853034
32,15.663103877503929
38,15.692000227338582
44,16.542884830677966
42,16.826874741326645
30,16.82978464460637
